Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,64.725677,66.604805,63.791088,65.949997,65.570778,799900
2016-01-05,65.491257,66.336349,64.049583,65.510002,65.133316,656100
2016-01-06,64.556656,65.053772,63.323780,64.610001,64.238487,995600
2016-01-07,63.870613,67.599060,63.661823,64.599998,64.228546,676000
2016-01-08,64.019753,64.825096,60.311203,61.240002,60.887875,799400
2016-01-11,61.494362,62.687462,61.225918,62.430000,62.071030,471400
2016-01-12,63.025505,63.960102,60.957470,62.040001,61.683270,413600
2016-01-13,62.160511,63.184589,60.748672,61.799999,61.444653,883700
2016-01-14,61.902000,64.079414,60.520000,63.220001,62.856483,921700
2016-01-15,61.633556,63.035450,60.987297,62.369999,62.011372,533600
2016-01-19,62.140625,63.443096,61.713097,63.119999,62.757061,783400
2016-01-20,61.732979,65.570778,61.732979,65.070000,64.695847,1021700
2016-01-21,64.596420,67.469810,64.288208,67.190002,66.803658,1604900
2016-01-22,67.201355,69.199791,66.316475,67.559998,67.171532,860600
2016-01-25,67.310730,68.523712,66.366188,66.839996,66.455666,619300
2016-01-26,66.475555,68.135956,66.137505,68.089996,67.698479,509500
2016-01-27,67.499626,69.329056,67.002502,69.070000,68.672844,626900
2016-01-28,68.702675,69.537849,68.215492,69.080002,68.682793,631200
2016-01-29,68.821983,70.472435,68.444168,70.410004,70.005150,638000
2016-02-01,69.637268,70.184105,68.265213,70.120003,69.716812,703200
2016-02-02,70.194054,71.466682,68.374573,69.669998,69.269394,580400
2016-02-03,69.199791,70.890030,67.887390,70.900002,70.492340,607200
2016-02-04,68.394455,70.949684,68.155846,69.629997,69.229630,529500
2016-02-05,69.319115,70.233810,68.165779,69.680000,69.279343,530300
2016-02-08,67.877434,68.553528,65.759697,68.400002,68.006699,755400
2016-02-09,67.877434,69.259468,66.942856,68.940002,68.543594,584300
2016-02-10,69.080505,69.338989,67.410149,67.970001,67.579170,434700
2016-02-11,66.505386,67.191422,65.650330,66.559998,66.177269,451700
2016-02-12,66.485489,67.300781,64.864876,67.440002,67.052223,507600
2016-02-16,67.986809,71.078934,67.320663,71.279999,70.870140,654000
2016-02-17,71.526352,73.564552,71.138588,73.349998,72.928246,771900
2016-02-18,72.431114,74.151161,71.078934,74.110001,73.683876,585200
2016-02-19,72.331696,73.266289,69.806290,71.820000,71.407036,930800
2016-02-22,71.973755,73.992088,71.178345,72.449997,72.033424,977600
2016-02-23,76.616905,79.858162,74.568756,78.370003,77.919365,2638900
2016-02-24,77.362595,79.967529,77.173683,80.290001,79.828331,1300300
2016-02-25,80.574020,82.005737,79.669250,82.220001,81.747238,636100
2016-02-26,83.000000,86.121941,82.264244,85.290001,84.799583,1083500
2016-02-29,82.373611,84.491371,82.373611,83.690002,83.208786,762600
2016-03-01,83.208786,84.521194,83.208786,84.019997,83.536880,594900
2016-03-02,83.119301,84.113556,82.532700,84.120003,83.636314,664000
2016-03-03,83.546822,85.982742,83.049706,84.540001,84.053894,659000
2016-03-04,83.994240,85.386177,83.417580,84.110001,83.626366,550100
2016-03-07,83.308212,86.837791,83.039757,87.320000,86.817909,704600
2016-03-08,86.191536,87.911583,85.286766,86.000000,85.505501,569900
2016-03-09,85.764000,87.106239,85.694405,87.330002,86.827858,490700
2016-03-10,87.494003,88.070663,85.863441,86.989998,86.489807,554300
2016-03-11,86.957100,87.732620,85.853485,86.989998,86.489807,476900
2016-03-14,85.296700,86.320786,84.173203,84.680000,84.193085,690800
2016-03-15,84.053894,84.869179,81.806892,83.650002,83.169014,531700
2016-03-16,83.019882,83.805336,81.856606,83.330002,82.850845,536500
2016-03-17,82.711662,85.177391,82.304008,85.639999,85.147575,611300
2016-03-18,85.336487,87.414459,85.336487,87.739998,87.235497,706000
2016-03-21,87.215614,87.951355,85.286766,85.779999,85.286766,343000
2016-03-22,85.177391,86.261131,83.218727,83.699997,83.218727,358200
2016-03-23,83.079521,83.338028,81.031372,82.669998,82.194641,453400
2016-03-24,82.284134,83.367859,80.474594,81.669998,81.200394,478200
2016-03-28,81.309753,84.928841,81.309753,84.150002,83.666138,372700
2016-03-29,83.954712,85.656296,82.661102,83.910004,83.496979,273100
2016-03-30,83.397469,84.790573,83.138748,84.529999,84.113914,310200
2016-03-31,83.994507,85.377686,83.516876,84.910004,84.492058,290000
2016-04-01,84.392540,84.701027,82.651154,84.059998,83.646233,398500
2016-04-04,83.705940,84.034317,80.312729,81.230003,80.830170,458900
2016-04-05,80.322670,80.820221,79.546516,80.430000,80.034103,487100
2016-04-06,80.203270,80.750565,79.068878,80.120003,79.725632,392100
2016-04-07,79.646019,80.631142,75.367188,76.199997,75.824921,676800
2016-04-08,73.984032,75.078613,72.979004,74.279999,73.914375,750200
2016-04-11,74.322357,74.461670,72.640686,73.029999,72.670532,632700
2016-04-12,72.670532,73.197914,70.958992,73.120003,72.760086,676400
2016-04-13,72.988953,74.710442,72.292404,74.699997,74.332306,646000
2016-04-14,74.431816,74.431816,71.028648,71.860001,71.506287,505000
2016-04-15,71.705299,72.232681,70.680367,71.430000,71.078407,628800
2016-04-18,71.028648,72.869553,70.730133,72.989998,72.630714,585100
2016-04-19,72.799896,73.088463,71.665497,72.540001,72.182938,371700
2016-04-20,72.202843,73.367088,71.973976,73.470001,73.108368,334300
2016-04-21,73.466591,74.461670,71.983925,72.510002,72.153091,351400
2016-04-22,72.272499,72.740181,71.386879,71.930000,71.575935,267800
2016-04-25,71.307281,71.506287,70.411697,71.150002,70.799789,361600
2016-04-26,70.819687,71.376930,70.541061,71.559998,71.207756,458300
2016-04-27,71.008751,72.859596,70.570915,72.580002,72.222748,332200
2016-04-28,71.854568,73.536247,71.854568,72.510002,72.153091,300900
2016-04-29,72.182938,72.362061,69.725105,70.449997,70.103226,379000
2016-05-02,70.570915,71.725204,69.605690,71.410004,71.058502,318900
2016-05-03,70.899284,71.376930,69.486275,70.610001,70.262444,337700
2016-05-04,70.073372,70.769936,68.172775,69.029999,68.690224,493700
2016-05-05,68.252388,68.252388,65.913956,67.129997,66.799576,699300
2016-05-06,66.222427,67.207550,65.605484,67.099998,66.769714,549100
2016-05-09,66.839371,68.809624,66.759758,68.440002,68.103119,393700
2016-05-10,67.008530,67.953857,65.615425,68.050003,67.715050,773700
2016-05-11,64.351677,64.908928,61.873932,62.490002,62.182407,1360000
2016-05-12,61.575409,62.371475,59.555405,60.639999,60.341518,1449400
2016-05-13,56.401009,62.640148,54.938240,59.860001,59.565353,2892500
2016-05-16,59.644958,59.754421,57.973225,58.279999,57.993130,1376200
2016-05-17,57.953335,58.202099,56.629871,57.389999,57.107510,1013400
2016-05-18,56.629871,57.097561,55.376076,55.840000,55.565140,777400
2016-05-19,55.863667,56.361202,54.102375,55.450001,55.177067,1182600
2016-05-20,55.346226,58.570274,55.017849,58.669998,58.381210,1337000
2016-05-23,58.749393,60.202202,57.634899,57.980000,57.694607,747500
2016-05-24,57.585148,58.789196,57.236874,58.669998,58.381210,678600
2016-05-25,58.013035,59.933537,57.933430,60.060001,59.764370,542100
2016-05-26,60.172352,60.938560,59.744473,60.439999,60.142498,606900
2016-05-27,60.281811,60.858955,59.694717,61.000000,60.699745,398000
2016-05-31,60.759453,61.127628,58.212051,59.110001,58.819046,554700
2016-06-01,58.819046,59.654911,58.371262,59.250000,58.958363,345900
2016-06-02,59.008110,61.386345,58.998161,61.240002,60.938560,631700
2016-06-03,60.719643,61.565460,60.450974,61.560001,61.256985,334200
2016-06-06,61.426151,61.694824,59.923584,60.689999,60.391266,330800
2016-06-07,60.261909,61.555511,59.824078,61.470001,61.167435,394600
2016-06-08,60.709690,61.585361,60.361420,61.340000,61.038071,345200
2016-06-09,60.968418,60.978363,58.460819,59.799999,59.505646,354200
2016-06-10,58.271755,58.311550,57.505547,58.099998,57.814018,497600
2016-06-13,57.714508,57.983181,57.017956,57.380001,57.097561,519200
2016-06-14,57.167217,57.515495,56.182087,56.750000,56.470665,448900
2016-06-15,56.590069,58.998161,56.590069,57.099998,56.818939,844200
2016-06-16,56.918449,57.326431,55.823860,56.459999,56.182087,447100
2016-06-17,56.430855,59.137470,56.430855,58.880001,58.590179,645100
2016-06-20,59.286736,59.973335,58.610081,59.189999,58.898651,643900
2016-06-21,59.067818,59.396191,58.759342,59.459999,59.167320,444700
2016-06-22,59.077766,60.590282,59.077766,59.610001,59.316586,290100
2016-06-23,60.212151,61.018169,59.515598,60.049999,59.754421,355400
2016-06-24,57.575199,59.674816,57.435890,59.630001,59.336487,520100
2016-06-27,59.167320,59.167320,56.510464,58.900002,58.610081,525800
2016-06-28,58.908958,60.004845,57.633743,59.130001,58.908958,512100
2016-06-29,59.510000,61.100000,59.510000,60.420000,59.640000,341937
2016-06-30,60.493015,60.493015,59.158024,60.599998,60.373463,285400
2016-07-01,60.233986,60.771969,60.024769,60.860001,60.632492,341200
2016-07-05,60.532864,60.732117,58.101990,58.880001,58.659897,462400
2016-07-06,58.620045,59.676079,57.583927,59.820000,59.596378,707300
2016-07-07,59.805592,61.100739,59.626266,60.270000,60.044697,332900
2016-07-08,60.722157,62.176697,60.722157,61.959999,61.728378,523700
2016-07-11,61.768227,63.412060,61.608829,63.490002,63.252663,465000
2016-07-12,63.561501,65.145554,63.561501,65.070000,64.826759,383400
2016-07-13,64.737099,65.115669,63.631237,63.880001,63.641201,391100
2016-07-14,64.238960,64.677307,63.083294,63.590000,63.352287,339900
2016-07-15,63.691017,64.587654,63.103218,63.970001,63.730865,239500
2016-07-18,63.890266,64.747047,63.671089,64.260002,64.019783,287900
2016-07-19,63.790642,63.850410,62.316174,62.790001,62.555275,267200
2016-07-20,62.774452,64.049675,62.246437,64.209999,63.969967,286200
2016-07-21,63.860378,64.298737,63.192886,63.459999,63.222767,332700
2016-07-22,63.003597,63.242699,61.818043,63.270000,63.033482,263200
2016-07-25,63.093258,66.012306,63.093258,66.070000,65.823013,614200
2016-07-26,65.852905,67.158005,65.623764,66.400002,66.151779,353300
2016-07-27,66.430733,66.639954,65.544060,66.239998,65.992371,336900
2016-07-28,65.902725,66.301224,64.517921,66.269997,66.022263,233000
2016-07-29,65.882790,67.596359,65.195381,67.680000,67.426994,479300
2016-08-01,67.158005,67.158005,65.045937,65.959999,65.713425,404500
2016-08-02,65.414551,65.484291,60.662376,61.180000,60.951298,597400
2016-08-03,59.387165,61.429501,57.643707,61.590000,61.359760,588400
2016-08-04,61.260136,62.356026,60.702229,61.790001,61.559017,313200
2016-08-05,62.116917,63.641201,62.116917,62.869999,62.634975,579800
2016-08-08,65.404579,65.404579,62.385910,62.779999,62.545315,445100
2016-08-09,62.316174,62.316174,60.164246,60.410000,60.184177,576400
2016-08-10,60.483047,63.531612,60.483047,61.630001,61.399612,673500
2016-08-11,75.945045,77.409538,62.864117,66.410004,66.161751,1474400
2016-08-12,61.459385,69.429489,61.270100,68.669998,68.413292,2412000
2016-08-15,68.373444,69.947540,68.373444,69.680000,69.419518,542900
2016-08-16,69.001083,69.738327,67.855385,69.629997,69.369698,337200
2016-08-17,68.642441,69.270081,68.124374,69.059998,68.801834,309600
2016-08-18,69.270081,69.519142,68.233963,68.760002,68.502960,462900
2016-08-19,68.134346,68.901466,67.865356,68.959999,68.702217,468400
2016-08-22,68.652405,68.652405,65.823013,67.010002,66.759499,489100
2016-08-23,66.779427,68.094498,66.410812,66.889999,66.639954,482400
2016-08-24,66.082039,66.958755,65.683540,66.040001,65.793129,280000
2016-08-25,65.454399,66.600098,64.338585,65.029999,64.786896,410600
2016-08-26,64.816788,65.245186,62.894005,63.410000,63.172958,451100
2016-08-29,63.362247,64.418282,63.033482,64.209999,63.969967,360500
2016-08-30,63.661129,63.691017,61.389648,61.939999,61.708454,447000
2016-08-31,61.708454,62.296246,59.885296,60.240002,60.014809,493900
2016-09-01,59.945065,60.233986,58.869110,59.740002,59.516682,609500
2016-09-02,59.765747,60.263874,58.799370,60.020000,59.795631,390300
2016-09-06,59.825516,59.855412,58.281315,59.240002,59.018551,509400
2016-09-07,59.187908,60.542828,58.789406,60.709999,60.483047,374100
2016-09-08,60.363499,60.562756,58.719666,59.029999,58.809330,641500
