Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,15.975467,16.685923,15.383416,16.740000,16.518177,82200
2016-01-05,16.468840,16.468840,15.807719,16.170000,15.955730,47200
2016-01-06,15.866921,15.876791,15.205802,15.540000,15.334079,74700
2016-01-07,14.998584,15.314345,14.455872,14.670000,14.475608,39800
2016-01-08,14.485475,14.722295,14.199318,14.660000,14.465739,74300
2016-01-11,14.574282,14.574282,13.893426,14.380000,14.189450,80200
2016-01-12,14.386800,14.505209,13.123761,13.760000,13.577666,92400
2016-01-13,13.577666,13.863824,12.709326,13.490000,13.311243,166900
2016-01-14,13.548061,14.149981,13.182966,13.800000,13.617135,82200
2016-01-15,12.995484,13.508593,12.581050,13.180000,13.005352,42200
2016-01-19,13.025085,13.025085,11.791650,12.120000,11.959398,62600
2016-01-20,11.752179,12.452771,10.676623,12.570000,12.403435,66100
2016-01-21,12.393567,13.548061,12.304760,13.430000,13.252039,63100
2016-01-22,13.814485,14.465739,13.538196,14.180000,13.992100,55800
2016-01-25,13.528329,14.199318,12.768531,12.950000,12.778399,58300
2016-01-26,13.094160,13.656606,12.679726,13.400000,13.222435,54200
2016-01-27,13.094160,13.834221,12.906676,13.310000,13.133629,40800
2016-01-28,13.824353,14.406535,13.380317,13.730000,13.548061,55400
2016-01-29,13.577666,14.495341,13.577666,14.430000,14.238788,46300
2016-02-01,14.031570,14.238788,13.587534,14.020000,13.834221,78500
2016-02-02,13.508593,14.248654,13.321111,13.980000,13.794749,84800
2016-02-03,13.992100,14.495341,13.577666,14.660000,14.465739,33600
2016-02-04,14.465739,15.057790,13.982232,14.700000,14.505209,51500
2016-02-05,14.130244,14.594016,13.814485,14.000000,13.814485,51500
2016-02-08,13.627002,14.603885,13.419786,14.700000,14.505209,41400
2016-02-09,14.297993,14.396667,13.242171,13.650000,13.469122,65300
2016-02-10,13.617135,13.735545,13.321111,13.560000,13.380317,24900
2016-02-11,13.321111,13.784883,12.936279,13.780000,13.597402,70100
2016-02-12,13.745413,14.426269,13.587534,14.570000,14.376932,60600
2016-02-16,14.534813,14.574282,14.031570,14.540000,14.347330,44400
2016-02-17,14.565014,14.921224,14.090068,14.940000,14.782697,74000
2016-02-18,14.802486,14.802486,14.248383,14.460000,14.307752,79700
2016-02-19,14.159330,14.317647,13.902068,14.390000,14.238488,46200
2016-02-22,14.515541,15.049854,14.327540,14.980000,14.822276,62500
2016-02-23,14.762909,14.762909,14.248383,14.550000,14.396804,77900
2016-02-24,14.218699,14.881644,14.169225,15.000000,14.842066,38400
2016-02-25,14.861856,15.356591,14.297855,15.240000,15.079539,41100
2016-02-26,15.178487,15.574275,15.079539,15.400000,15.237854,76700
2016-02-29,15.297222,15.514906,15.049854,15.540000,15.376380,78700
2016-03-01,15.514906,15.554484,14.941013,15.720000,15.554484,32400
2016-03-02,15.406064,16.167957,15.366487,16.340000,16.167957,27700
2016-03-03,16.059114,16.821009,16.059114,16.940001,16.761642,48300
2016-03-04,16.919956,18.097427,16.919956,17.590000,17.404797,51200
2016-03-07,17.523533,18.107319,17.523533,18.059999,17.869846,32200
2016-03-08,17.830267,17.899530,17.355324,17.559999,17.375114,49000
2016-03-09,17.691742,17.978691,17.147532,17.469999,17.286058,22900
2016-03-10,17.315744,17.375114,16.474689,16.920000,16.741850,26200
2016-03-11,17.038691,17.681847,17.038691,17.760000,17.573008,31300
2016-03-14,17.127743,17.563110,16.900166,17.510000,17.325640,36600
2016-03-15,16.979322,17.117847,16.672586,17.250000,17.068377,22700
2016-03-16,17.197006,17.751108,16.979322,17.750000,17.563110,44800
2016-03-17,17.671955,18.305214,17.503742,18.440001,18.245846,28700
2016-03-18,18.592161,18.691109,17.751108,18.150000,17.958900,92700
2016-03-21,17.800583,18.117212,17.216797,17.639999,17.454268,27300
2016-03-22,17.157427,17.385006,17.018902,17.230000,17.048586,28000
2016-03-23,16.999113,17.385006,16.593430,16.959999,16.781427,47000
2016-03-24,16.603325,17.246483,16.603325,17.379999,17.197006,17600
2016-03-28,17.197006,17.315744,16.722059,17.180000,16.999113,52000
2016-03-29,16.791321,17.483953,16.257010,17.340000,17.157427,102100
2016-03-30,17.305849,17.385006,16.840796,17.190001,17.009007,33200
2016-03-31,17.018902,17.503742,16.900166,17.309999,17.127743,27600
2016-04-01,16.840796,17.147532,16.266907,16.760000,16.583538,48500
2016-04-04,16.583538,16.751747,15.861221,16.049999,15.881011,28300
2016-04-05,15.960168,16.029432,15.584169,16.030001,15.861221,57400
2016-04-06,16.039326,16.514275,15.811747,16.290001,16.118483,44500
2016-04-07,15.970063,16.405430,15.742485,16.520000,16.346062,29600
2016-04-08,16.652798,16.989218,16.583538,17.120001,16.939743,24200
2016-04-11,16.781427,17.424587,16.672586,16.920000,16.741850,29400
2016-04-12,16.840796,17.780792,16.731956,17.750000,17.563110,92200
