Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,5.729540,5.747223,5.367023,6.320000,5.588070,926500
2016-01-05,5.552702,5.561544,5.110608,5.850000,5.172501,967300
2016-01-06,5.128293,5.252078,4.818826,5.480000,4.845352,741000
2016-01-07,4.659673,4.739249,4.252945,4.910000,4.341364,1354700
2016-01-08,4.314839,4.350206,3.996531,4.680000,4.138001,1162600
2016-01-11,4.120317,4.155685,3.766642,4.500000,3.978847,750500
2016-01-12,3.978847,4.067266,3.377599,4.090000,3.616330,1314200
2016-01-13,3.634014,3.731275,3.130026,3.560000,3.147710,899400
2016-01-14,3.359915,3.598646,3.094659,3.970000,3.510227,1219100
2016-01-15,3.094659,3.200762,2.962030,3.520000,3.112343,1063000
2016-01-19,3.112343,3.183078,2.652565,3.170000,2.802876,855800
2016-01-20,2.855928,2.864770,2.325415,2.810000,2.484569,1484900
2016-01-21,2.458043,3.076975,2.387308,3.280000,2.900137,1241300
2016-01-22,3.076975,3.872745,3.068133,3.970000,3.510227,2066000
2016-01-25,3.474859,3.793168,3.351073,3.900000,3.448334,1370100
2016-01-26,3.589804,3.722432,3.306864,4.160000,3.678223,1139700
2016-01-27,3.687065,3.872745,3.483702,4.050000,3.580963,632400
2016-01-28,3.775484,4.084949,3.740116,4.410000,3.899270,911600
2016-01-29,3.908112,4.005373,3.757800,4.520000,3.996531,619000
2016-02-01,4.031898,4.084949,3.713590,4.350000,3.846219,639900
2016-02-02,3.713590,3.713590,3.492544,4.080000,3.607488,984600
2016-02-03,3.671096,3.843747,3.443924,4.130000,3.752878,1520800
2016-02-04,3.789226,4.007310,3.662009,4.200000,3.816486,706300
2016-02-05,3.725617,3.952789,3.671096,4.210000,3.825573,622800
2016-02-08,3.725617,3.743791,3.353056,3.830000,3.480272,722000
2016-02-09,3.407577,3.507532,2.816930,3.170000,2.880538,3973500
2016-02-10,2.889625,2.971407,2.680627,2.960000,2.689714,806300
2016-02-11,2.662453,2.662453,2.171762,2.610000,2.371673,2391600
2016-02-12,2.371673,2.662453,2.089980,2.790000,2.535237,1420600
2016-02-16,2.735148,2.898712,2.626106,2.940000,2.671540,777200
2016-02-17,2.798756,2.816930,2.598845,3.000000,2.726062,1039400
2016-02-18,3.053189,3.434838,3.016841,3.400000,3.089536,1864900
