trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-116.99927032733348,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9}",20,0,-11.489840761063812,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.85}",25,0,-61.48821768484926,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8}",20,0,-45.238569071901715,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.75}",25,0,-66.8534855316295,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.7}",20,0,-89.39357752466202,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.65}",25,0,1.3384835761920364,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6}",25,0,-157.02313053291073,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.55}",20,12,1.9674024844451028,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.5}",25,0,-87.58933365858749,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.44999999999999996}",30,13,-40.470006137599114,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.4}",30,0,-145.4134992436525,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.35}",20,0,-51.56857394582512,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.30000000000000004}",35,0,-180.5742305942088,"{0: 19, 1: 4, 2: 10, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.25}",30,0,-153.47463204407828,"{0: 17, 1: 1, 2: 9, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999996}",25,0,-208.66151074341096,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.15000000000000002}",25,0,-67.60141796941447,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999998}",30,0,-195.44217448107293,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.050000000000000044}",20,11,-32.92144158369364,"{0: 5, 1: 1, 2: 2, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.0}",20,0,25.971741520044347,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,5,17.33511412260788,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",30,11,32.821509131795146,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,12,28.071957866278684,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",30,14,13.360963526977356,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,15,17.794958135458636,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,15,-24.173391649764852,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,11,14.660086481527397,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,0,14.245175719673618,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,1,14.3439552527092,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,2,29.195264450299593,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
