trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-95.66707019170025,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,0,-150.0553987038814,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,0,-123.2235272373075,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.6703200460356393}",20,0,-47.30032237038266,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.6065306597126334}",25,0,-118.38577487145383,"{0: 19, 1: 1, 2: 0, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.5488116360940264}",30,0,-115.8339479030215,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.49658530379140947}",35,0,-48.23099311646049,"{0: 27, 1: 2, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.44932896411722156}",25,0,-134.40578704649093,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,3,-24.411146249339506,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,4,-123.6131313839318,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.33287108369807955}",35,16,-87.24502010056614,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.301194211912202}",20,0,-90.9564501061716,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.2725317930340126}",20,0,-113.48068739618682,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.24659696394160643}",20,0,-179.65475597899828,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.22313016014842982}",25,0,-53.44585314250706,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.20189651799465538}",30,6,-26.37364821033994,"{0: 19, 1: 3, 2: 0, 3: 2, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1826835240527346}",25,0,-63.64038706105755,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.16529888822158653}",30,0,-100.11485149861431,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.14956861922263504}",25,0,-59.68289946298642,"{0: 21, 1: 1, 2: 0, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.1353352832366127}",25,0,-143.5320632686915,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.1224564282529819}",20,0,-73.9721047870108,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
