trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-8,-96.53911712150399,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,-4,-87.51417327209037,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,-2,-208.15746965847165,"{0: 18, 1: 6, 2: 3, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,-91,-511.7361317878822,"{0: 75, 1: 10, 2: 25, 3: 6, 4: 5}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,-100,-711.094355755789,"{0: 70, 1: 20, 2: 25, 3: 7, 4: 8}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,-100,-501.0876732977208,"{0: 83, 1: 12, 2: 24, 3: 5, 4: 6}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,19,-11.112426676799181,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,-100,-514.1282206446408,"{0: 79, 1: 16, 2: 17, 3: 7, 4: 6}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,-100,-546.1411967122676,"{0: 77, 1: 13, 2: 23, 3: 6, 4: 6}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,-100,-701.4328192767815,"{0: 74, 1: 17, 2: 25, 3: 4, 4: 10}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,-12,-86.9213506219464,"{0: 23, 1: 2, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,-100,-685.2450943124537,"{0: 79, 1: 6, 2: 23, 3: 7, 4: 10}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,-3,-152.59203195503545,"{0: 11, 1: 2, 2: 8, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,-100,-471.90436970844587,"{0: 77, 1: 11, 2: 23, 3: 3, 4: 6}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,-61,-425.1406697895502,"{0: 45, 1: 6, 2: 22, 3: 4, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,-25,-183.55447069332223,"{0: 30, 1: 2, 2: 9, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,-100,-696.1729844916588,"{0: 86, 1: 8, 2: 20, 3: 3, 4: 13}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,10,-39.256850421956244,"{0: 4, 1: 2, 2: 4, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,-87,-312.7815735582231,"{0: 76, 1: 9, 2: 15, 3: 3, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,-2,-103.01018492810815,"{0: 14, 1: 0, 2: 5, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,-100,-607.4069199918285,"{0: 80, 1: 14, 2: 23, 3: 5, 4: 8}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,-66,-307.4041263105904,"{0: 56, 1: 9, 2: 15, 3: 2, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,5,-19.708209077992034,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,-45,-127.9069458427437,"{0: 47, 1: 5, 2: 11, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,-9,-109.34613629324807,"{0: 16, 1: 6, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,10,-5.452047090873098,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,-75,-337.33327812164254,"{0: 63, 1: 8, 2: 17, 3: 3, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,-100,-721.8804879766838,"{0: 66, 1: 18, 2: 24, 3: 10, 4: 7}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,-100,-607.0342817654708,"{0: 69, 1: 18, 2: 20, 3: 6, 4: 7}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,-100,-626.1592017573621,"{0: 73, 1: 15, 2: 24, 3: 5, 4: 8}",0
